Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,5:42 AM,6:02 AM,7:12 AM,1:40 PM,2:00 PM,5:13 PM,6:00 PM,8:09 PM,8:19 PM,9:39 PM,9:44 PM
2,5:40 AM,6:00 AM,7:10 AM,1:40 PM,2:00 PM,5:14 PM,6:00 PM,8:11 PM,8:21 PM,9:41 PM,9:46 PM
3,5:37 AM,5:57 AM,7:07 AM,1:39 PM,2:00 PM,5:15 PM,6:00 PM,8:12 PM,8:22 PM,9:42 PM,9:47 PM
4,5:35 AM,5:55 AM,7:05 AM,1:39 PM,2:00 PM,5:16 PM,6:00 PM,8:14 PM,8:24 PM,9:44 PM,9:49 PM
5,5:33 AM,5:53 AM,7:03 AM,1:39 PM,2:00 PM,5:17 PM,6:00 PM,8:16 PM,8:26 PM,9:46 PM,9:51 PM
6,5:31 AM,5:51 AM,7:01 AM,1:39 PM,2:00 PM,5:18 PM,6:00 PM,8:17 PM,8:27 PM,9:47 PM,9:52 PM
7,5:29 AM,5:49 AM,6:59 AM,1:38 PM,2:00 PM,5:18 PM,6:00 PM,8:19 PM,8:29 PM,9:49 PM,9:54 PM
8,5:26 AM,5:46 AM,6:56 AM,1:38 PM,2:00 PM,5:19 PM,6:00 PM,8:21 PM,8:31 PM,9:51 PM,9:56 PM
9,5:24 AM,5:44 AM,6:54 AM,1:38 PM,2:00 PM,5:20 PM,6:00 PM,8:22 PM,8:32 PM,9:52 PM,9:57 PM
10,5:22 AM,5:42 AM,6:52 AM,1:37 PM,2:00 PM,5:21 PM,6:00 PM,8:24 PM,8:34 PM,9:54 PM,9:59 PM
11,5:20 AM,5:40 AM,6:50 AM,1:37 PM,2:00 PM,5:22 PM,6:00 PM,8:26 PM,8:36 PM,9:56 PM,10:01 PM
12,5:18 AM,5:38 AM,6:48 AM,1:37 PM,2:00 PM,5:22 PM,6:00 PM,8:27 PM,8:37 PM,9:57 PM,10:02 PM
13,5:16 AM,5:36 AM,6:46 AM,1:37 PM,2:00 PM,5:23 PM,6:00 PM,8:29 PM,8:39 PM,9:59 PM,10:04 PM
14,5:13 AM,5:33 AM,6:43 AM,1:36 PM,2:00 PM,5:24 PM,6:00 PM,8:31 PM,8:41 PM,10:01 PM,10:06 PM
15,5:11 AM,5:31 AM,6:41 AM,1:36 PM,2:00 PM,5:25 PM,6:00 PM,8:32 PM,8:42 PM,10:02 PM,10:07 PM
16,5:09 AM,5:29 AM,6:39 AM,1:36 PM,2:00 PM,5:25 PM,6:00 PM,8:34 PM,8:44 PM,10:04 PM,10:09 PM
17,5:07 AM,5:27 AM,6:37 AM,1:36 PM,2:00 PM,5:26 PM,6:00 PM,8:35 PM,8:45 PM,10:05 PM,10:10 PM
18,5:05 AM,5:25 AM,6:35 AM,1:36 PM,2:00 PM,5:27 PM,6:00 PM,8:37 PM,8:47 PM,10:07 PM,10:12 PM
19,5:03 AM,5:23 AM,6:33 AM,1:35 PM,2:00 PM,5:28 PM,6:00 PM,8:39 PM,8:49 PM,10:09 PM,10:14 PM
20,5:01 AM,5:21 AM,6:31 AM,1:35 PM,2:00 PM,5:28 PM,6:00 PM,8:40 PM,8:50 PM,10:10 PM,10:15 PM
21,4:59 AM,5:19 AM,6:29 AM,1:35 PM,2:00 PM,5:29 PM,6:00 PM,8:42 PM,8:52 PM,10:12 PM,10:17 PM
22,4:57 AM,5:17 AM,6:27 AM,1:35 PM,2:00 PM,5:30 PM,6:00 PM,8:44 PM,8:54 PM,10:14 PM,10:19 PM
23,4:55 AM,5:15 AM,6:25 AM,1:35 PM,2:00 PM,5:30 PM,6:00 PM,8:45 PM,8:55 PM,10:15 PM,10:20 PM
24,4:53 AM,5:13 AM,6:23 AM,1:34 PM,2:00 PM,5:31 PM,6:00 PM,8:47 PM,8:57 PM,10:17 PM,10:22 PM
25,4:51 AM,5:11 AM,6:21 AM,1:34 PM,2:00 PM,5:32 PM,6:00 PM,8:49 PM,8:59 PM,10:19 PM,10:24 PM
26,4:49 AM,5:09 AM,6:19 AM,1:34 PM,2:00 PM,5:32 PM,6:00 PM,8:50 PM,9:00 PM,10:20 PM,10:25 PM
27,4:47 AM,5:07 AM,6:17 AM,1:34 PM,2:00 PM,5:33 PM,6:00 PM,8:52 PM,9:02 PM,10:22 PM,10:27 PM
28,4:45 AM,5:05 AM,6:15 AM,1:34 PM,2:00 PM,5:34 PM,6:00 PM,8:53 PM,9:03 PM,10:23 PM,10:28 PM
29,4:43 AM,5:03 AM,6:13 AM,1:34 PM,2:00 PM,5:34 PM,6:00 PM,8:55 PM,9:05 PM,10:25 PM,10:30 PM
30,4:41 AM,5:01 AM,6:11 AM,1:33 PM,2:00 PM,5:35 PM,6:00 PM,8:57 PM,9:07 PM,10:27 PM,10:32 PM
