Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,4:32 AM,4:52 AM,6:02 AM,1:43 PM,2:00 PM,5:51 PM,6:00 PM,9:22 PM,9:32 PM,10:52 PM,10:57 PM
2,4:33 AM,4:53 AM,6:03 AM,1:42 PM,2:00 PM,5:51 PM,6:00 PM,9:21 PM,9:31 PM,10:51 PM,10:56 PM
3,4:35 AM,4:55 AM,6:05 AM,1:42 PM,2:00 PM,5:50 PM,6:00 PM,9:19 PM,9:29 PM,10:49 PM,10:54 PM
4,4:36 AM,4:56 AM,6:06 AM,1:42 PM,2:00 PM,5:49 PM,6:00 PM,9:17 PM,9:27 PM,10:47 PM,10:52 PM
5,4:38 AM,4:58 AM,6:08 AM,1:42 PM,2:00 PM,5:48 PM,6:00 PM,9:16 PM,9:26 PM,10:46 PM,10:51 PM
6,4:39 AM,4:59 AM,6:09 AM,1:42 PM,2:00 PM,5:48 PM,6:00 PM,9:14 PM,9:24 PM,10:44 PM,10:49 PM
7,4:41 AM,5:01 AM,6:11 AM,1:42 PM,2:00 PM,5:47 PM,6:00 PM,9:12 PM,9:22 PM,10:42 PM,10:47 PM
8,4:42 AM,5:02 AM,6:12 AM,1:42 PM,2:00 PM,5:46 PM,6:00 PM,9:10 PM,9:20 PM,10:40 PM,10:45 PM
9,4:44 AM,5:04 AM,6:14 AM,1:42 PM,2:00 PM,5:45 PM,6:00 PM,9:09 PM,9:19 PM,10:39 PM,10:44 PM
10,4:45 AM,5:05 AM,6:15 AM,1:42 PM,2:00 PM,5:44 PM,6:00 PM,9:07 PM,9:17 PM,10:37 PM,10:42 PM
11,4:47 AM,5:07 AM,6:17 AM,1:41 PM,2:00 PM,5:43 PM,6:00 PM,9:05 PM,9:15 PM,10:35 PM,10:40 PM
12,4:48 AM,5:08 AM,6:18 AM,1:41 PM,2:00 PM,5:42 PM,6:00 PM,9:03 PM,9:13 PM,10:33 PM,10:38 PM
13,4:50 AM,5:10 AM,6:20 AM,1:41 PM,2:00 PM,5:41 PM,6:00 PM,9:01 PM,9:11 PM,10:31 PM,10:36 PM
14,4:51 AM,5:11 AM,6:21 AM,1:41 PM,2:00 PM,5:40 PM,6:00 PM,8:59 PM,9:09 PM,10:29 PM,10:34 PM
15,4:53 AM,5:13 AM,6:23 AM,1:41 PM,2:00 PM,5:39 PM,6:00 PM,8:57 PM,9:07 PM,10:27 PM,10:32 PM
16,4:55 AM,5:15 AM,6:25 AM,1:40 PM,2:00 PM,5:38 PM,6:00 PM,8:55 PM,9:05 PM,10:25 PM,10:30 PM
17,4:56 AM,5:16 AM,6:26 AM,1:40 PM,2:00 PM,5:37 PM,6:00 PM,8:53 PM,9:03 PM,10:23 PM,10:28 PM
18,4:58 AM,5:18 AM,6:28 AM,1:40 PM,2:00 PM,5:36 PM,6:00 PM,8:51 PM,9:01 PM,10:21 PM,10:26 PM
19,4:59 AM,5:19 AM,6:29 AM,1:40 PM,2:00 PM,5:35 PM,6:00 PM,8:49 PM,8:59 PM,10:19 PM,10:24 PM
20,5:01 AM,5:21 AM,6:31 AM,1:40 PM,2:00 PM,5:34 PM,6:00 PM,8:47 PM,8:57 PM,10:17 PM,10:22 PM
21,5:02 AM,5:22 AM,6:32 AM,1:39 PM,2:00 PM,5:33 PM,6:00 PM,8:45 PM,8:55 PM,10:15 PM,10:20 PM
22,5:04 AM,5:24 AM,6:34 AM,1:39 PM,2:00 PM,5:32 PM,6:00 PM,8:43 PM,8:53 PM,10:13 PM,10:18 PM
23,5:06 AM,5:26 AM,6:36 AM,1:39 PM,2:00 PM,5:30 PM,6:00 PM,8:41 PM,8:51 PM,10:11 PM,10:16 PM
24,5:07 AM,5:27 AM,6:37 AM,1:39 PM,2:00 PM,5:29 PM,6:00 PM,8:39 PM,8:49 PM,10:09 PM,10:14 PM
25,5:09 AM,5:29 AM,6:39 AM,1:38 PM,2:00 PM,5:28 PM,6:00 PM,8:37 PM,8:47 PM,10:07 PM,10:12 PM
26,5:10 AM,5:30 AM,6:40 AM,1:38 PM,2:00 PM,5:27 PM,6:00 PM,8:35 PM,8:45 PM,10:05 PM,10:10 PM
27,5:12 AM,5:32 AM,6:42 AM,1:38 PM,2:00 PM,5:25 PM,6:00 PM,8:33 PM,8:43 PM,10:03 PM,10:08 PM
28,5:13 AM,5:33 AM,6:43 AM,1:37 PM,2:00 PM,5:24 PM,6:00 PM,8:30 PM,8:40 PM,10:00 PM,10:05 PM
29,5:15 AM,5:35 AM,6:45 AM,1:37 PM,2:00 PM,5:23 PM,6:00 PM,8:28 PM,8:38 PM,9:58 PM,10:03 PM
30,5:16 AM,5:36 AM,6:46 AM,1:37 PM,2:00 PM,5:22 PM,6:00 PM,8:26 PM,8:36 PM,9:56 PM,10:01 PM
31,5:18 AM,5:38 AM,6:48 AM,1:36 PM,2:00 PM,5:20 PM,6:00 PM,8:24 PM,8:34 PM,9:54 PM,9:59 PM
