Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,3:56 AM,4:16 AM,5:26 AM,1:40 PM,2:00 PM,6:01 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
2,3:56 AM,4:16 AM,5:26 AM,1:40 PM,2:00 PM,6:01 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
3,3:57 AM,4:17 AM,5:27 AM,1:40 PM,2:00 PM,6:01 PM,6:30 PM,9:53 PM,10:03 PM,11:23 PM,11:28 PM
4,3:58 AM,4:18 AM,5:28 AM,1:41 PM,2:00 PM,6:01 PM,6:30 PM,9:53 PM,10:03 PM,11:23 PM,11:28 PM
5,3:59 AM,4:19 AM,5:29 AM,1:41 PM,2:00 PM,6:01 PM,6:30 PM,9:52 PM,10:02 PM,11:22 PM,11:27 PM
6,4:00 AM,4:20 AM,5:30 AM,1:41 PM,2:00 PM,6:01 PM,6:30 PM,9:52 PM,10:02 PM,11:22 PM,11:27 PM
7,4:01 AM,4:21 AM,5:31 AM,1:41 PM,2:00 PM,6:01 PM,6:30 PM,9:51 PM,10:01 PM,11:21 PM,11:26 PM
8,4:01 AM,4:21 AM,5:31 AM,1:41 PM,2:00 PM,6:01 PM,6:30 PM,9:51 PM,10:01 PM,11:21 PM,11:26 PM
9,4:02 AM,4:22 AM,5:32 AM,1:42 PM,2:00 PM,6:01 PM,6:30 PM,9:50 PM,10:00 PM,11:20 PM,11:25 PM
10,4:03 AM,4:23 AM,5:33 AM,1:42 PM,2:00 PM,6:00 PM,6:30 PM,9:49 PM,9:59 PM,11:19 PM,11:24 PM
11,4:04 AM,4:24 AM,5:34 AM,1:42 PM,2:00 PM,6:00 PM,6:30 PM,9:48 PM,9:58 PM,11:18 PM,11:23 PM
12,4:06 AM,4:26 AM,5:36 AM,1:42 PM,2:00 PM,6:00 PM,6:30 PM,9:48 PM,9:58 PM,11:18 PM,11:23 PM
13,4:07 AM,4:27 AM,5:37 AM,1:42 PM,2:00 PM,6:00 PM,6:30 PM,9:47 PM,9:57 PM,11:17 PM,11:22 PM
14,4:08 AM,4:28 AM,5:38 AM,1:42 PM,2:00 PM,6:00 PM,6:30 PM,9:46 PM,9:56 PM,11:16 PM,11:21 PM
15,4:09 AM,4:29 AM,5:39 AM,1:42 PM,2:00 PM,5:59 PM,6:30 PM,9:45 PM,9:55 PM,11:15 PM,11:20 PM
16,4:10 AM,4:30 AM,5:40 AM,1:42 PM,2:00 PM,5:59 PM,6:30 PM,9:44 PM,9:54 PM,11:14 PM,11:19 PM
17,4:11 AM,4:31 AM,5:41 AM,1:42 PM,2:00 PM,5:59 PM,6:30 PM,9:43 PM,9:53 PM,11:13 PM,11:18 PM
18,4:12 AM,4:32 AM,5:42 AM,1:42 PM,2:00 PM,5:59 PM,6:30 PM,9:42 PM,9:52 PM,11:12 PM,11:17 PM
19,4:14 AM,4:34 AM,5:44 AM,1:43 PM,2:00 PM,5:58 PM,6:30 PM,9:40 PM,9:50 PM,11:10 PM,11:15 PM
20,4:15 AM,4:35 AM,5:45 AM,1:43 PM,2:00 PM,5:58 PM,6:30 PM,9:39 PM,9:49 PM,11:09 PM,11:14 PM
21,4:16 AM,4:36 AM,5:46 AM,1:43 PM,2:00 PM,5:57 PM,6:30 PM,9:38 PM,9:48 PM,11:08 PM,11:13 PM
22,4:18 AM,4:38 AM,5:48 AM,1:43 PM,2:00 PM,5:57 PM,6:30 PM,9:37 PM,9:47 PM,11:07 PM,11:12 PM
23,4:19 AM,4:39 AM,5:49 AM,1:43 PM,2:00 PM,5:56 PM,6:30 PM,9:36 PM,9:46 PM,11:06 PM,11:11 PM
24,4:20 AM,4:40 AM,5:50 AM,1:43 PM,2:00 PM,5:56 PM,6:30 PM,9:34 PM,9:44 PM,11:04 PM,11:09 PM
25,4:22 AM,4:42 AM,5:52 AM,1:43 PM,2:00 PM,5:56 PM,6:30 PM,9:33 PM,9:43 PM,11:03 PM,11:08 PM
26,4:23 AM,4:43 AM,5:53 AM,1:43 PM,2:00 PM,5:55 PM,6:30 PM,9:31 PM,9:41 PM,11:01 PM,11:06 PM
27,4:24 AM,4:44 AM,5:54 AM,1:43 PM,2:00 PM,5:54 PM,6:30 PM,9:30 PM,9:40 PM,11:00 PM,11:05 PM
28,4:26 AM,4:46 AM,5:56 AM,1:43 PM,2:00 PM,5:54 PM,6:30 PM,9:29 PM,9:39 PM,10:59 PM,11:04 PM
29,4:27 AM,4:47 AM,5:57 AM,1:43 PM,2:00 PM,5:53 PM,6:30 PM,9:27 PM,9:37 PM,10:57 PM,11:02 PM
30,4:29 AM,4:49 AM,5:59 AM,1:43 PM,2:00 PM,5:53 PM,6:30 PM,9:26 PM,9:36 PM,10:56 PM,11:01 PM
31,4:30 AM,4:50 AM,6:00 AM,1:43 PM,2:00 PM,5:52 PM,6:30 PM,9:24 PM,9:34 PM,10:54 PM,10:59 PM
