Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,3:57 AM,4:17 AM,5:27 AM,1:34 PM,2:00 PM,5:53 PM,6:30 PM,9:42 PM,9:52 PM,11:12 PM,11:17 PM
2,3:56 AM,4:16 AM,5:26 AM,1:34 PM,2:00 PM,5:54 PM,6:30 PM,9:43 PM,9:53 PM,11:13 PM,11:18 PM
3,3:56 AM,4:16 AM,5:26 AM,1:34 PM,2:00 PM,5:54 PM,6:30 PM,9:44 PM,9:54 PM,11:14 PM,11:19 PM
4,3:55 AM,4:15 AM,5:25 AM,1:35 PM,2:00 PM,5:54 PM,6:30 PM,9:45 PM,9:55 PM,11:15 PM,11:20 PM
5,3:54 AM,4:14 AM,5:24 AM,1:35 PM,2:00 PM,5:55 PM,6:30 PM,9:46 PM,9:56 PM,11:16 PM,11:21 PM
6,3:54 AM,4:14 AM,5:24 AM,1:35 PM,2:00 PM,5:55 PM,6:30 PM,9:47 PM,9:57 PM,11:17 PM,11:22 PM
7,3:53 AM,4:13 AM,5:23 AM,1:35 PM,2:00 PM,5:56 PM,6:30 PM,9:47 PM,9:57 PM,11:17 PM,11:22 PM
8,3:53 AM,4:13 AM,5:23 AM,1:35 PM,2:00 PM,5:56 PM,6:30 PM,9:48 PM,9:58 PM,11:18 PM,11:23 PM
9,3:52 AM,4:12 AM,5:22 AM,1:35 PM,2:00 PM,5:56 PM,6:30 PM,9:49 PM,9:59 PM,11:19 PM,11:24 PM
10,3:52 AM,4:12 AM,5:22 AM,1:36 PM,2:00 PM,5:57 PM,6:30 PM,9:50 PM,10:00 PM,11:20 PM,11:25 PM
11,3:52 AM,4:12 AM,5:22 AM,1:36 PM,2:00 PM,5:57 PM,6:30 PM,9:50 PM,10:00 PM,11:20 PM,11:25 PM
12,3:51 AM,4:11 AM,5:21 AM,1:36 PM,2:00 PM,5:57 PM,6:30 PM,9:51 PM,10:01 PM,11:21 PM,11:26 PM
13,3:51 AM,4:11 AM,5:21 AM,1:36 PM,2:00 PM,5:58 PM,6:30 PM,9:52 PM,10:02 PM,11:22 PM,11:27 PM
14,3:51 AM,4:11 AM,5:21 AM,1:36 PM,2:00 PM,5:58 PM,6:30 PM,9:52 PM,10:02 PM,11:22 PM,11:27 PM
15,3:51 AM,4:11 AM,5:21 AM,1:37 PM,2:00 PM,5:58 PM,6:30 PM,9:53 PM,10:03 PM,11:23 PM,11:28 PM
16,3:51 AM,4:11 AM,5:21 AM,1:37 PM,2:00 PM,5:59 PM,6:30 PM,9:53 PM,10:03 PM,11:23 PM,11:28 PM
17,3:51 AM,4:11 AM,5:21 AM,1:37 PM,2:00 PM,5:59 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
18,3:51 AM,4:11 AM,5:21 AM,1:37 PM,2:00 PM,5:59 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
19,3:51 AM,4:11 AM,5:21 AM,1:38 PM,2:00 PM,5:59 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
20,3:51 AM,4:11 AM,5:21 AM,1:38 PM,2:00 PM,6:00 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
21,3:51 AM,4:11 AM,5:21 AM,1:38 PM,2:00 PM,6:00 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
22,3:52 AM,4:12 AM,5:22 AM,1:38 PM,2:00 PM,6:00 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
23,3:52 AM,4:12 AM,5:22 AM,1:38 PM,2:00 PM,6:00 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
24,3:52 AM,4:12 AM,5:22 AM,1:39 PM,2:00 PM,6:00 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
25,3:53 AM,4:13 AM,5:23 AM,1:39 PM,2:00 PM,6:01 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
26,3:53 AM,4:13 AM,5:23 AM,1:39 PM,2:00 PM,6:01 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
27,3:53 AM,4:13 AM,5:23 AM,1:39 PM,2:00 PM,6:01 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
28,3:54 AM,4:14 AM,5:24 AM,1:39 PM,2:00 PM,6:01 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
29,3:55 AM,4:15 AM,5:25 AM,1:40 PM,2:00 PM,6:01 PM,6:30 PM,9:55 PM,10:05 PM,11:25 PM,11:30 PM
30,3:55 AM,4:15 AM,5:25 AM,1:40 PM,2:00 PM,6:01 PM,6:30 PM,9:54 PM,10:04 PM,11:24 PM,11:29 PM
