Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,5:51 AM,6:11 AM,7:21 AM,12:49 PM,1:00 PM,3:41 PM,4:00 PM,6:17 PM,6:27 PM,7:47 PM,8:30 PM
2,5:49 AM,6:09 AM,7:19 AM,12:48 PM,1:00 PM,3:42 PM,4:00 PM,6:19 PM,6:20 PM,7:49 PM,8:30 PM
3,5:46 AM,6:06 AM,7:16 AM,12:48 PM,1:00 PM,3:43 PM,4:00 PM,6:21 PM,6:31 PM,7:51 PM,8:30 PM
4,5:44 AM,6:04 AM,7:14 AM,12:48 PM,1:00 PM,3:45 PM,4:00 PM,6:22 PM,6:32 PM,7:53 PM,8:30 PM
5,5:42 AM,6:02 AM,7:12 AM,12:48 PM,1:00 PM,3:46 PM,4:00 PM,6:24 PM,6:34 PM,7:55 PM,8:30 PM
6,5:40 AM,6:00 AM,7:10 AM,12:47 PM,1:00 PM,3:47 PM,4:00 PM,6:26 PM,6:36 PM,7:57 PM,8:30 PM
7,5:38 AM,5:58 AM,7:08 AM,12:47 PM,1:00 PM,3:48 PM,4:00 PM,6:28 PM,6:38 PM,7:59 PM,8:30 PM
8,5:36 AM,5:56 AM,7:06 AM,12:47 PM,1:00 PM,3:49 PM,4:00 PM,6:29 PM,6:39 PM,8:01 PM,8:30 PM
9,5:33 AM,5:53 AM,7:03 AM,12:47 PM,1:00 PM,3:50 PM,4:00 PM,6:31 PM,6:41 PM,8:03 PM,8:30 PM
10,5:31 AM,5:51 AM,7:01 AM,12:46 PM,1:00 PM,3:52 PM,4:00 PM,6:33 PM,6:43 PM,8:05 PM,8:30 PM
11,5:29 AM,5:49 AM,6:59 AM,12:46 PM,1:00 PM,3:53 PM,4:00 PM,6:34 PM,6:44 PM,8:07 PM,8:30 PM
12,6:27 AM,6:47 AM,7:57 AM,1:46 PM,2:00 PM,4:54 PM,5:30 PM,7:36 PM,7:46 PM,9:09 PM,9:14 PM
13,6:25 AM,6:45 AM,7:55 AM,1:46 PM,2:00 PM,4:55 PM,5:30 PM,7:38 PM,7:48 PM,9:11 PM,9:16 PM
14,6:22 AM,6:42 AM,7:52 AM,1:45 PM,2:00 PM,4:56 PM,5:30 PM,7:39 PM,7:49 PM,9:13 PM,9:18 PM
15,6:20 AM,6:40 AM,7:50 AM,1:46 PM,2:00 PM,4:57 PM,5:30 PM,7:41 PM,7:51 PM,9:15 PM,9:20 PM
16,6:18 AM,6:38 AM,7:48 AM,1:46 PM,2:00 PM,4:58 PM,5:30 PM,7:43 PM,7:53 PM,9:17 PM,9:22 PM
17,6:16 AM,6:36 AM,7:46 AM,1:46 PM,2:00 PM,4:59 PM,5:30 PM,7:44 PM,7:54 PM,9:19 PM,9:24 PM
18,6:13 AM,6:33 AM,7:43 AM,1:44 PM,2:00 PM,5:00 PM,5:30 PM,7:46 PM,7:56 PM,9:21 PM,9:26 PM
19,6:11 AM,6:31 AM,7:41 AM,1:44 PM,2:00 PM,5:01 PM,5:30 PM,7:48 PM,7:58 PM,9:23 PM,9:28 PM
20,6:09 AM,6:29 AM,7:39 AM,1:44 PM,2:00 PM,5:02 PM,5:30 PM,7:49 PM,8:59 PM,9:25 PM,9:30 PM
21,6:07 AM,6:27 AM,7:37 AM,1:43 PM,2:00 PM,5:03 PM,5:30 PM,7:51 PM,8:01 PM,9:27 PM,9:32 PM
22,6:04 AM,6:24 AM,7:34 AM,1:43 PM,2:00 PM,5:04 PM,5:30 PM,7:53 PM,8:03 PM,9:29 PM,9:34 PM
23,6:02 AM,6:22 AM,7:32 AM,1:43 PM,2:00 PM,5:05 PM,5:30 PM,7:54 PM,8:04 PM,9:31 PM,9:36 PM
24,6:00 AM,6:20 AM,7:30 AM,1:42 PM,2:00 PM,5:06 PM,5:30 PM,7:56 PM,8:06 PM,9:33 PM,9:38 PM
25,5:58 AM,6:18 AM,7:28 AM,1:42 PM,2:00 PM,5:07 PM,5:30 PM,7:58 PM,8:08 PM,9:35 PM,9:40 PM
26,5:55 AM,6:15 AM,7:25 AM,1:42 PM,2:00 PM,5:08 PM,5:30 PM,7:59 PM,8:09 PM,9:37 PM,9:42 PM
27,5:53 AM,6:13 AM,7:23 AM,1:42 PM,2:00 PM,5:09 PM,5:30 PM,8:01 PM,8:11 PM,9:39 PM,9:44 PM
28,5:51 AM,6:11 AM,7:21 AM,1:41 PM,2:00 PM,5:10 PM,5:30 PM,8:03 PM,8:13 PM,9:41 PM,9:46 PM
29,5:49 AM,6:09 AM,7:19 AM,1:41 PM,2:00 PM,5:11 PM,5:30 PM,8:04 PM,8:14 PM,9:43 PM,9:48 PM
30,5:46 AM,6:06 AM,7:16 AM,1:41 PM,2:00 PM,5:12 PM,5:30 PM,8:06 PM,8:16 PM,9:45 PM,9:50 PM
31,5:44 AM,6:04 AM,7:14 AM,1:40 PM,2:00 PM,5:12 PM,5:30 PM,8:08 PM,8:18 PM,9:47 PM,9:52 PM
