Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,4:39 AM,4:59 AM,6:09 AM,1:33 PM,2:00 PM,5:36 PM,6:00 PM,8:58 PM,9:08 PM,10:28 PM,10:33 PM
2,4:38 AM,4:58 AM,6:08 AM,1:33 PM,2:00 PM,5:36 PM,6:00 PM,9:00 PM,9:10 PM,10:30 PM,10:35 PM
3,4:36 AM,4:56 AM,6:06 AM,1:33 PM,2:00 PM,5:37 PM,6:00 PM,9:01 PM,9:11 PM,10:31 PM,10:36 PM
4,4:34 AM,4:54 AM,6:04 AM,1:33 PM,2:00 PM,5:38 PM,6:00 PM,9:03 PM,9:13 PM,10:33 PM,10:38 PM
5,4:32 AM,4:52 AM,6:02 AM,1:33 PM,2:00 PM,5:38 PM,6:00 PM,9:05 PM,9:05 PM,10:35 PM,10:40 PM
6,4:30 AM,4:50 AM,6:00 AM,1:33 PM,2:00 PM,5:39 PM,6:00 PM,9:06 PM,9:06 PM,10:36 PM,10:41 PM
7,4:29 AM,4:49 AM,5:59 AM,1:33 PM,2:00 PM,5:40 PM,6:00 PM,9:08 PM,9:08 PM,10:38 PM,10:43 PM
8,4:27 AM,4:47 AM,5:57 AM,1:33 PM,2:00 PM,5:40 PM,6:00 PM,9:09 PM,9:09 PM,10:39 PM,10:44 PM
9,4:25 AM,4:45 AM,5:55 AM,1:33 PM,2:00 PM,5:41 PM,6:00 PM,9:11 PM,9:11 PM,10:41 PM,10:46 PM
10,4:24 AM,4:44 AM,5:54 AM,1:33 PM,2:00 PM,5:41 PM,6:00 PM,9:12 PM,9:12 PM,10:42 PM,10:47 PM
11,4:22 AM,4:42 AM,5:52 AM,1:33 PM,2:00 PM,5:42 PM,6:00 PM,9:14 PM,9:14 PM,10:44 PM,10:49 PM
12,4:21 AM,4:41 AM,5:51 AM,1:33 PM,2:00 PM,5:43 PM,6:00 PM,9:15 PM,9:15 PM,10:45 PM,10:50 PM
13,4:19 AM,4:39 AM,5:49 AM,1:33 PM,2:00 PM,5:43 PM,6:00 PM,9:17 PM,9:17 PM,10:47 PM,10:52 PM
14,4:18 AM,4:38 AM,5:48 AM,1:33 PM,2:00 PM,5:44 PM,6:00 PM,9:18 PM,9:18 PM,10:48 PM,10:53 PM
15,4:16 AM,4:36 AM,5:46 AM,1:33 PM,2:00 PM,5:44 PM,6:00 PM,9:20 PM,9:20 PM,10:50 PM,10:55 PM
16,4:15 AM,4:35 AM,5:45 AM,1:33 PM,2:00 PM,5:45 PM,6:00 PM,9:21 PM,9:21 PM,10:51 PM,10:56 PM
17,4:13 AM,4:33 AM,5:43 AM,1:33 PM,2:00 PM,5:45 PM,6:00 PM,9:23 PM,9:23 PM,10:53 PM,10:58 PM
18,4:12 AM,4:32 AM,5:42 AM,1:33 PM,2:00 PM,5:46 PM,6:00 PM,9:24 PM,9:24 PM,10:54 PM,10:59 PM
19,4:11 AM,4:31 AM,5:41 AM,1:33 PM,2:00 PM,5:47 PM,6:00 PM,9:26 PM,9:26 PM,10:56 PM,11:01 PM
20,4:09 AM,4:29 AM,5:39 AM,1:33 PM,2:00 PM,5:47 PM,6:00 PM,9:27 PM,9:27 PM,10:57 PM,11:02 PM
21,4:08 AM,4:28 AM,5:38 AM,1:33 PM,2:00 PM,5:48 PM,6:00 PM,9:28 PM,9:28 PM,10:58 PM,11:03 PM
22,4:07 AM,4:27 AM,5:37 AM,1:33 PM,2:00 PM,5:48 PM,6:00 PM,9:30 PM,9:30 PM,11:00 PM,11:05 PM
23,4:06 AM,4:26 AM,5:36 AM,1:33 PM,2:00 PM,5:49 PM,6:00 PM,9:31 PM,9:31 PM,11:01 PM,11:06 PM
24,4:05 AM,4:25 AM,5:35 AM,1:33 PM,2:00 PM,5:49 PM,6:00 PM,9:32 PM,9:32 PM,11:02 PM,11:07 PM
25,4:03 AM,4:23 AM,5:33 AM,1:33 PM,2:00 PM,5:50 PM,6:00 PM,9:34 PM,9:34 PM,11:04 PM,11:09 PM
26,4:02 AM,4:22 AM,5:32 AM,1:33 PM,2:00 PM,5:50 PM,6:00 PM,9:35 PM,9:35 PM,11:05 PM,11:10 PM
27,4:01 AM,4:21 AM,5:31 AM,1:33 PM,2:00 PM,5:51 PM,6:00 PM,9:36 PM,9:36 PM,11:06 PM,11:11 PM
28,4:00 AM,4:20 AM,5:30 AM,1:33 PM,2:00 PM,5:51 PM,6:00 PM,9:37 PM,9:37 PM,11:07 PM,11:12 PM
29,3:59 AM,4:19 AM,5:29 AM,1:34 PM,2:00 PM,5:52 PM,6:00 PM,9:38 PM,9:38 PM,11:08 PM,11:13 PM
30,3:59 AM,4:19 AM,5:29 AM,1:34 PM,2:00 PM,5:52 PM,6:00 PM,9:40 PM,9:40 PM,11:10 PM,11:15 PM
31,3:58 AM,4:18 AM,5:28 AM,1:34 PM,2:00 PM,5:53 PM,6:00 PM,9:41 PM,9:41 PM,11:11 PM,11:16 PM
