Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,6:59 AM,7:19 AM,8:29 AM,1:20 PM,2:00 PM,3:43 PM,4:30 PM,6:10 PM,6:20 PM,7:40 PM,7:45 PM
2,7:00 AM,7:20 AM,8:30 AM,1:20 PM,2:00 PM,3:41 PM,4:30 PM,6:08 PM,6:18 PM,7:38 PM,7:43 PM
3,7:02 AM,7:22 AM,8:32 AM,1:20 PM,2:00 PM,3:40 PM,4:30 PM,6:07 PM,5:17 PM,7:37 PM,7:42 PM
4,7:04 AM,7:24 AM,8:34 AM,1:20 PM,2:00 PM,3:39 PM,4:30 PM,6:05 PM,5:15 PM,7:35 PM,7:40 PM
5,6:06 AM,6:26 AM,7:36 AM,12:20 PM,1:00 PM,2:37 PM,3:00 PM,5:03 PM,5:13 PM,6:33 PM,7:30 PM
6,6:07 AM,6:27 AM,7:37 AM,12:20 PM,1:00 PM,2:36 PM,3:00 PM,5:02 PM,5:12 PM,6:32 PM,7:30 PM
7,6:09 AM,6:29 AM,7:39 AM,12:20 PM,1:00 PM,2:35 PM,3:00 PM,5:00 PM,5:10 PM,6:30 PM,7:30 PM
8,6:11 AM,6:31 AM,7:41 AM,12:20 PM,1:00 PM,2:34 PM,3:00 PM,4:59 PM,5:09 PM,6:29 PM,7:30 PM
9,6:13 AM,6:33 AM,7:43 AM,12:20 PM,1:00 PM,2:32 PM,3:00 PM,4:57 PM,5:07 PM,6:27 PM,7:30 PM
10,6:14 AM,6:34 AM,7:44 AM,12:20 PM,1:00 PM,2:31 PM,3:00 PM,4:55 PM,5:05 PM,6:25 PM,7:30 PM
11,6:16 AM,6:36 AM,7:46 AM,12:20 PM,1:00 PM,2:30 PM,3:00 PM,4:54 PM,5:04 PM,6:24 PM,7:30 PM
12,6:18 AM,6:38 AM,7:48 AM,12:20 PM,1:00 PM,2:29 PM,3:00 PM,4:53 PM,5:03 PM,6:23 PM,7:30 PM
13,6:19 AM,6:39 AM,7:49 AM,12:21 PM,1:00 PM,2:28 PM,3:00 PM,4:51 PM,5:01 PM,6:21 PM,7:30 PM
14,6:21 AM,6:41 AM,7:51 AM,12:21 PM,1:00 PM,2:27 PM,3:00 PM,4:50 PM,5:00 PM,6:20 PM,7:30 PM
15,6:23 AM,6:43 AM,7:53 AM,12:21 PM,1:00 PM,2:26 PM,3:00 PM,4:48 PM,4:58 PM,6:18 PM,7:30 PM
16,6:24 AM,6:44 AM,7:54 AM,12:21 PM,1:00 PM,2:25 PM,3:00 PM,4:47 PM,4:57 PM,6:17 PM,7:30 PM
17,6:26 AM,6:46 AM,7:56 AM,12:21 PM,1:00 PM,2:24 PM,3:00 PM,4:46 PM,4:56 PM,6:16 PM,7:30 PM
18,6:28 AM,6:48 AM,7:58 AM,12:21 PM,1:00 PM,2:23 PM,3:00 PM,4:45 PM,4:55 PM,6:15 PM,7:30 PM
19,6:29 AM,6:49 AM,7:59 AM,12:22 PM,1:00 PM,2:22 PM,3:00 PM,4:43 PM,4:53 PM,6:13 PM,7:30 PM
20,6:31 AM,6:51 AM,8:01 AM,12:22 PM,1:00 PM,2:21 PM,3:00 PM,4:42 PM,4:52 PM,6:12 PM,7:30 PM
21,6:33 AM,6:53 AM,8:03 AM,12:22 PM,1:00 PM,2:20 PM,3:00 PM,4:41 PM,4:51 PM,6:11 PM,7:30 PM
22,6:34 AM,6:54 AM,8:04 AM,12:22 PM,1:00 PM,2:20 PM,3:00 PM,4:40 PM,4:50 PM,6:10 PM,7:30 PM
23,6:36 AM,6:56 AM,8:06 AM,12:23 PM,1:00 PM,2:19 PM,3:00 PM,4:39 PM,4:49 PM,6:09 PM,7:30 PM
24,6:37 AM,6:57 AM,8:07 AM,12:23 PM,1:00 PM,2:18 PM,3:00 PM,4:38 PM,4:48 PM,6:08 PM,7:30 PM
25,6:39 AM,6:59 AM,8:09 AM,12:23 PM,1:00 PM,2:17 PM,3:00 PM,4:37 PM,4:47 PM,6:07 PM,7:30 PM
26,6:40 AM,7:00 AM,8:10 AM,12:24 PM,1:00 PM,2:17 PM,3:00 PM,4:36 PM,4:46 PM,6:06 PM,7:30 PM
27,6:42 AM,7:02 AM,8:12 AM,12:24 PM,1:00 PM,2:16 PM,3:00 PM,4:35 PM,4:45 PM,6:05 PM,7:30 PM
28,6:43 AM,7:03 AM,8:13 AM,12:24 PM,1:00 PM,2:16 PM,3:00 PM,4:35 PM,4:45 PM,6:05 PM,7:30 PM
29,6:45 AM,7:05 AM,8:15 AM,12:25 PM,1:00 PM,2:15 PM,3:00 PM,4:34 PM,4:44 PM,6:04 PM,7:30 PM
30,6:46 AM,7:06 AM,8:16 AM,12:25 PM,1:00 PM,2:15 PM,3:00 PM,4:33 PM,4:43 PM,6:03 PM,7:30 PM
