Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,6:07 AM,6:27 AM,7:37 AM,1:26 PM,2:00 PM,4:32 PM,5:00 PM,7:14 PM,7:24 PM,8:44 PM,8:49 PM
2,6:08 AM,6:28 AM,7:38 AM,1:26 PM,2:00 PM,4:30 PM,5:00 PM,7:12 PM,7:22 PM,8:42 PM,8:47 PM
3,6:10 AM,6:30 AM,7:40 AM,1:25 PM,2:00 PM,4:29 PM,5:00 PM,7:10 PM,7:20 PM,8:40 PM,8:45 PM
4,6:12 AM,6:32 AM,7:42 AM,1:25 PM,2:00 PM,4:27 PM,5:00 PM,7:07 PM,7:17 PM,8:37 PM,8:42 PM
5,6:13 AM,6:33 AM,7:43 AM,1:25 PM,2:00 PM,4:25 PM,5:00 PM,7:05 PM,7:15 PM,8:35 PM,8:40 PM
6,6:15 AM,6:35 AM,7:45 AM,1:24 PM,2:00 PM,4:24 PM,5:00 PM,7:03 PM,7:13 PM,8:33 PM,8:38 PM
7,6:16 AM,6:36 AM,7:46 AM,1:24 PM,2:00 PM,4:22 PM,5:00 PM,7:01 PM,7:11 PM,8:31 PM,8:36 PM
8,6:18 AM,6:38 AM,7:48 AM,1:24 PM,2:00 PM,4:20 PM,5:00 PM,6:58 PM,7:08 PM,8:28 PM,8:33 PM
9,6:20 AM,6:40 AM,7:50 AM,1:23 PM,2:00 PM,4:19 PM,5:00 PM,6:56 PM,7:06 PM,8:26 PM,8:31 PM
10,6:21 AM,6:41 AM,7:51 AM,1:23 PM,2:00 PM,4:17 PM,5:00 PM,6:54 PM,7:04 PM,8:24 PM,8:29 PM
11,6:23 AM,6:43 AM,7:53 AM,1:23 PM,2:00 PM,4:15 PM,5:00 PM,6:52 PM,7:02 PM,8:22 PM,8:27 PM
12,6:25 AM,6:45 AM,7:55 AM,1:23 PM,2:00 PM,4:14 PM,5:00 PM,6:50 PM,7:00 PM,8:20 PM,8:25 PM
13,6:26 AM,6:46 AM,7:56 AM,1:22 PM,2:00 PM,4:12 PM,5:00 PM,6:48 PM,6:58 PM,8:18 PM,8:23 PM
14,6:28 AM,6:48 AM,7:58 AM,1:22 PM,2:00 PM,4:11 PM,5:00 PM,6:46 PM,6:56 PM,8:16 PM,8:21 PM
15,6:30 AM,6:50 AM,8:00 AM,1:22 PM,2:00 PM,4:09 PM,5:00 PM,6:43 PM,6:53 PM,8:13 PM,8:18 PM
16,6:31 AM,6:51 AM,8:01 AM,1:22 PM,2:00 PM,4:07 PM,5:00 PM,6:41 PM,6:51 PM,8:11 PM,8:16 PM
17,6:33 AM,6:53 AM,8:03 AM,1:22 PM,2:00 PM,4:06 PM,5:00 PM,6:39 PM,6:49 PM,8:09 PM,8:14 PM
18,6:35 AM,6:55 AM,8:05 AM,1:21 PM,2:00 PM,4:04 PM,5:00 PM,6:37 PM,6:47 PM,8:07 PM,8:12 PM
19,6:36 AM,6:56 AM,8:06 AM,1:22 PM,2:00 PM,4:02 PM,5:00 PM,6:35 PM,6:45 PM,8:05 PM,8:10 PM
20,6:38 AM,6:58 AM,8:08 AM,1:22 PM,2:00 PM,4:01 PM,5:00 PM,6:33 PM,6:43 PM,8:03 PM,8:08 PM
21,6:40 AM,7:00 AM,8:10 AM,1:22 PM,2:00 PM,3:59 PM,4:30 PM,6:31 PM,6:41 PM,8:01 PM,8:06 PM
22,6:41 AM,7:01 AM,8:11 AM,1:22 PM,2:00 PM,3:58 PM,4:30 PM,6:29 PM,6:39 PM,7:59 PM,8:04 PM
23,6:43 AM,7:03 AM,8:13 AM,1:22 PM,2:00 PM,3:56 PM,4:30 PM,6:27 PM,6:37 PM,7:57 PM,8:02 PM
24,6:45 AM,7:05 AM,8:15 AM,1:20 PM,2:00 PM,3:55 PM,4:30 PM,6:25 PM,6:35 PM,7:55 PM,8:00 PM
25,6:47 AM,7:07 AM,8:17 AM,1:20 PM,2:00 PM,3:53 PM,4:30 PM,6:23 PM,6:33 PM,7:53 PM,7:58 PM
26,6:48 AM,7:08 AM,8:18 AM,1:20 PM,2:00 PM,3:52 PM,4:30 PM,6:21 PM,6:31 PM,7:51 PM,7:56 PM
27,6:50 AM,7:10 AM,8:20 AM,1:20 PM,2:00 PM,3:50 PM,4:30 PM,6:19 PM,6:29 PM,7:49 PM,7:54 PM
28,6:52 AM,7:12 AM,8:22 AM,1:20 PM,2:00 PM,3:49 PM,4:30 PM,6:18 PM,6:28 PM,7:48 PM,7:53 PM
29,6:54 AM,7:14 AM,8:24 AM,1:20 PM,2:00 PM,3:47 PM,4:30 PM,6:16 PM,6:26 PM,7:46 PM,7:51 PM
30,6:55 AM,7:15 AM,8:25 AM,1:20 PM,2:00 PM,3:46 PM,4:30 PM,6:14 PM,6:24 PM,7:44 PM,7:49 PM
31,6:57 AM,7:17 AM,8:27 AM,1:20 PM,2:00 PM,3:44 PM,4:30 PM,6:12 PM,6:22 PM,7:42 PM,7:47 PM
