Day,Fajr Adhan,Fajr Iqamah,Sunrise,Dhuhr Adhan,Dhuhr Iqamah,Asr Adhan,Asr Iqamah,Maghrib Adhan,Maghrib Iqamah,Isha Adhan,Isha Iqamah
1,5:20 AM,5:40 AM,6:50 AM,1:36 PM,2:00 PM,5:19 PM,6:00 PM,8:22 PM,8:32 PM,9:52 PM,9:57 PM
2,5:21 AM,5:41 AM,6:51 AM,1:36 PM,2:00 PM,5:17 PM,6:00 PM,8:19 PM,8:29 PM,9:49 PM,9:54 PM
3,5:23 AM,5:43 AM,6:53 AM,1:36 PM,2:00 PM,5:16 PM,6:00 PM,8:17 PM,8:27 PM,9:47 PM,9:52 PM
4,5:24 AM,5:44 AM,6:54 AM,1:35 PM,2:00 PM,5:15 PM,6:00 PM,8:15 PM,8:25 PM,9:45 PM,9:50 PM
5,5:26 AM,5:46 AM,6:56 AM,1:35 PM,2:00 PM,5:13 PM,6:00 PM,8:13 PM,8:23 PM,9:43 PM,9:48 PM
6,5:27 AM,5:47 AM,6:57 AM,1:35 PM,2:00 PM,5:12 PM,6:00 PM,8:11 PM,8:21 PM,9:41 PM,9:46 PM
7,5:29 AM,5:49 AM,6:59 AM,1:34 PM,2:00 PM,5:10 PM,6:00 PM,8:08 PM,8:18 PM,9:38 PM,9:43 PM
8,5:31 AM,5:51 AM,7:01 AM,1:34 PM,2:00 PM,5:09 PM,6:00 PM,8:06 PM,8:16 PM,9:36 PM,9:41 PM
9,5:32 AM,5:52 AM,7:02 AM,1:33 PM,2:00 PM,5:07 PM,6:00 PM,8:04 PM,8:14 PM,9:34 PM,9:39 PM
10,5:34 AM,5:54 AM,7:04 AM,1:33 PM,2:00 PM,5:06 PM,6:00 PM,8:02 PM,8:12 PM,9:32 PM,9:37 PM
11,5:35 AM,5:55 AM,7:05 AM,1:33 PM,2:00 PM,5:04 PM,6:00 PM,7:59 PM,8:09 PM,9:29 PM,9:34 PM
12,5:37 AM,5:57 AM,7:07 AM,1:32 PM,2:00 PM,5:03 PM,6:00 PM,7:57 PM,8:07 PM,9:27 PM,9:32 PM
13,5:38 AM,5:58 AM,7:08 AM,1:32 PM,2:00 PM,5:01 PM,6:00 PM,7:55 PM,8:05 PM,9:25 PM,9:30 PM
14,5:40 AM,6:00 AM,7:10 AM,1:32 PM,2:00 PM,5:00 PM,5:30 PM,7:53 PM,8:03 PM,9:23 PM,9:28 PM
15,5:41 AM,6:01 AM,7:11 AM,1:31 PM,2:00 PM,4:58 PM,5:30 PM,7:50 PM,8:00 PM,9:20 PM,9:25 PM
16,5:43 AM,6:03 AM,7:13 AM,1:31 PM,2:00 PM,4:57 PM,5:30 PM,7:48 PM,7:58 PM,9:18 PM,9:23 PM
17,5:45 AM,6:05 AM,7:15 AM,1:31 PM,2:00 PM,4:55 PM,5:30 PM,7:46 PM,7:56 PM,9:16 PM,9:21 PM
18,5:46 AM,6:06 AM,7:16 AM,1:30 PM,2:00 PM,4:53 PM,5:30 PM,7:43 PM,7:53 PM,9:13 PM,9:18 PM
19,5:48 AM,6:08 AM,7:18 AM,1:30 PM,2:00 PM,4:52 PM,5:30 PM,7:41 PM,7:51 PM,9:11 PM,9:16 PM
20,5:49 AM,6:09 AM,7:19 AM,1:30 PM,2:00 PM,4:50 PM,5:30 PM,7:39 PM,7:49 PM,9:09 PM,9:14 PM
21,5:51 AM,6:11 AM,7:21 AM,1:29 PM,2:00 PM,4:49 PM,5:30 PM,7:37 PM,7:47 PM,9:07 PM,9:12 PM
22,5:52 AM,6:12 AM,7:22 AM,1:29 PM,2:00 PM,4:47 PM,5:30 PM,7:34 PM,7:44 PM,9:04 PM,9:09 PM
23,5:54 AM,6:14 AM,7:24 AM,1:29 PM,2:00 PM,4:45 PM,5:30 PM,7:32 PM,7:42 PM,9:02 PM,9:07 PM
24,5:56 AM,6:16 AM,7:26 AM,1:28 PM,2:00 PM,4:44 PM,5:30 PM,7:30 PM,7:40 PM,9:00 PM,9:05 PM
25,5:57 AM,6:17 AM,7:27 AM,1:28 PM,2:00 PM,4:42 PM,5:30 PM,7:28 PM,7:38 PM,8:58 PM,9:03 PM
26,5:59 AM,6:19 AM,7:29 AM,1:27 PM,2:00 PM,4:40 PM,5:30 PM,7:25 PM,7:35 PM,8:55 PM,9:00 PM
27,6:00 AM,6:20 AM,7:30 AM,1:27 PM,2:00 PM,4:39 PM,5:30 PM,7:23 PM,7:33 PM,8:53 PM,8:58 PM
28,6:02 AM,6:22 AM,7:32 AM,1:27 PM,2:00 PM,4:37 PM,5:30 PM,7:21 PM,7:31 PM,8:51 PM,8:56 PM
29,6:04 AM,6:24 AM,7:34 AM,1:26 PM,2:00 PM,4:35 PM,5:30 PM,7:18 PM,7:28 PM,8:48 PM,8:53 PM
30,6:05 AM,6:25 AM,7:35 AM,1:26 PM,2:00 PM,4:34 PM,5:30 PM,7:16 PM,7:26 PM,8:46 PM,8:51 PM
